Indicator Type,County,Value
No_Insurance,51145,14.90
No_Insurance,51147,15.80
No_Insurance,51149,13.10
No_Insurance,51153,13.70
No_Insurance,51155,13.00
No_Insurance,51157,18.70
No_Insurance,51159,21.20
No_Insurance,51161,10.50
No_Insurance,51163,16.60
No_Insurance,51165,16.10
No_Insurance,51167,16.10
No_Insurance,51169,15.80
No_Insurance,51171,16.50
No_Insurance,51173,14.40
No_Insurance,51175,16.30
No_Insurance,51177,11.90
No_Insurance,51179,10.90
No_Insurance,51181,15.30
No_Insurance,51183,19.10
No_Insurance,51185,16.10
No_Insurance,51187,15.00
No_Insurance,51191,15.50
No_Insurance,51193,19.70
No_Insurance,51195,15.20
No_Insurance,51197,15.50
No_Insurance,51199,10.10
No_Insurance,51510,12.80
No_Insurance,51515,18.40
No_Insurance,51520,14.30
No_Insurance,51530,16.60
No_Insurance,51540,15.50
No_Insurance,51550,12.30
No_Insurance,51570,15.10
No_Insurance,51580,18.40
No_Insurance,51590,15.30
No_Insurance,51595,18.70
No_Insurance,51600,14.80
No_Insurance,51610,8.40
No_Insurance,51620,16.90
No_Insurance,51630,14.90
No_Insurance,51640,18.90
No_Insurance,51650,13.20
No_Insurance,51660,18.70
No_Insurance,51670,17.30
No_Insurance,51678,16.50
No_Insurance,51680,12.90
No_Insurance,51683,18.20
No_Insurance,51685,20.50
No_Insurance,51690,16.60
No_Insurance,51700,13.30
No_Insurance,51710,15.80
No_Insurance,51720,12.90
No_Insurance,51730,16.30
No_Insurance,51735,10.80
No_Insurance,51740,14.70
No_Insurance,51750,15.90
No_Insurance,51760,16.20
No_Insurance,51770,15.50
No_Insurance,51775,11.90
No_Insurance,51790,15.20
No_Insurance,51800,13.20
No_Insurance,51810,11.60
No_Insurance,51820,17.40
No_Insurance,51830,10.90
No_Insurance,51840,17.90
No_Insurance,51001,21.30
No_Insurance,51003,18.60
No_Insurance,51005,12.70
No_Insurance,51007,21.10
No_Insurance,51009,14.90
No_Insurance,51011,18.00
No_Insurance,51013,19.30
No_Insurance,51015,14.40
No_Insurance,51017,20.70
No_Insurance,51019,16.20
No_Insurance,51021,14.20
No_Insurance,51023,13.50
No_Insurance,51025,15.70
No_Insurance,51027,12.80
No_Insurance,51029,19.90
No_Insurance,51031,15.00
No_Insurance,51033,17.90
No_Insurance,51035,16.10
No_Insurance,51036,20.60
No_Insurance,51037,18.50
No_Insurance,51041,14.10
No_Insurance,51043,14.70
No_Insurance,51045,18.20
No_Insurance,51047,18.30
No_Insurance,51049,17.60
No_Insurance,51051,13.80
No_Insurance,51053,13.60
No_Insurance,51057,16.00
No_Insurance,51059,15.10
No_Insurance,51061,15.90
No_Insurance,51063,21.00
No_Insurance,51065,16.40
No_Insurance,51067,16.70
No_Insurance,51069,13.90
No_Insurance,51071,13.80
No_Insurance,51073,18.60
No_Insurance,51075,14.30
No_Insurance,51077,14.40
No_Insurance,51079,19.30
No_Insurance,51081,12.00
No_Insurance,51083,13.80
No_Insurance,51085,12.30
No_Insurance,51087,13.40
No_Insurance,51089,15.20
No_Insurance,51091,26.00
No_Insurance,51093,14.00
No_Insurance,51095,14.10
